a	A		sumti or		logical connective: sumti afterthought or
linji		lij li'i	line		x1 is a line/among lines [1-dimensional shape/form] defined by set of points x2	[ray/vector (farli'i or porli'i)]; (cf. kruvi, sirji, jganu, kantu, mokca)
linsi		lin	chain	'links'	x1 is a length of chain/links of material x2 with link properties x3	(cf. skori)
linto		li'o	lightweight		x1 is light in mass/weight by standard x2	(cf. junta, tilju; se xalbo, kandi for metaphor)
lisri		lis	story		x1 is a story/tale/yarn/narrative about plot/subject/moral x2 by storyteller x3 to audience x4	[also legend; a narrative need not be fictional; x2 may be merely a convention rather than a subject; also x3 tells/recounts story/tale x1 about x2 to x4 (= selterlisri for place reordering); note that the storyteller need not be the author]; (cf. ranmi, cfika, skicu, prosa, pemci)
liste		ste	list		x1 (physical object) is a list/catalog/register of sequence/set x2 in order x3 in medium x4	[also roll, log]; (x2 is completely specified); (cf. porsi, girzu, cmima for mental objects wherein order is of varying importance; some manifested order is intrinsic to a physical list, but the specific order may be incidental and not intentional/purposeful)
litce		lic	liter		x1 is x2 liter(s) [metric unit] in volume (default is 1) by standard x3	(cf. merli, grake, mitre, dekpu, centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
litki		lik	liquid		x1 is liquid/fluid, of composition/material including x2, under conditions x3	[conditions include temperature and pressure]; (cf. cilmo, djacu, lumci, runta, pambe, sudga, gapci, sligu, flecu, jduli)
litru		li'u	travel		x1 travels/journeys/goes/moves via route x2 using means/vehicle x3; x1 is a traveller	(x2 as a set includes points at least sufficient to constrain the route relevantly); (cf. bajra, cadzu, cpare, tcana, klama, cliva, pluta, limna, muvdu)
livga			liver		x1 is a/the liver [body-part] of x2	(cf. rango, betfu)
livla		lil	fuel		x1 is a fuel/energy-source for powering x2	(cf. nejni, xaksu, jelca)
lo	LE		the really is		veridical descriptor: the one(s) that really is(are) ...
lo'a	BY1		Lojban shift		shift letterals to Lojban (Roman) alphabet
lo'e	LE	lom	the typical		veridical descriptor: the typical one(s) who really is(are) ...
lo'i	LE		the set really is		veridical descriptor: the set of those that really are ..., treated as a set
lo'o	LOhO		end mex sumti		elidable terminator: end math express.(mex) sumti; end mex-to-sumti conversion; usually elidable
lo'u	LOhU		error quote		start questionable/out-of-context quote; text should be Lojban words, but needn't be grammatical
logji		loj	logic		x1 [rules/methods] is a logic for deducing/concluding/inferring/reasoning to/about x2 (du'u)	[also (adjective:) x1, x2 are logical]; (cf. nibli)
loi	LE		the mass really is		veridical descriptor: the mass of individual(s) that is(are) ...
lojbo		lob jbo	Lojbanic		x1 reflects [Loglandic]/Lojbanic language/culture/nationality/community in aspect x2	[pre-Lojban forms of Loglan (= dzejbo)] (cf. bangu, logji)
loldi		lol loi	floor		x1 is a floor/bottom/ground of x2	[floor/level/story of a building/edifice (= setloi, dijysenta)]; (cf. bitmu, drudi, dertu, dizlo, cnita, zbepi, sarji, serti)
lorxu		lor lo'u	fox		x1 is a fox [bushy-tailed wild dog/canine] of species/breed x2	(cf. gerku)
lu	LU		quote		start grammatical quotation; quoted text should be grammatical on its own
lu'a	LAhE		the individuals of		the members of the set/components of the mass; converts another description type to individuals
lu'e	LAhE		the symbol for		the symbol for (indirect discourse); uses the symbol/word(s) for a sumti as the desired sumti
lu'i	LAhE		the set composed of		the set with members; converts another description type to a set of the members
lu'o	LAhE		the mass composed of		the mass composed of; converts another description type to a mass composed of the members
lu'u	LUhU		end sumti qualifiers		elidable terminator: end of sumti qualifiers; usually elidable except before a sumti
lubno		lu'o	Lebanese		x1 reflects Lebanese culture/nationality in aspect x2	(cf. xrabo)
lujvo		luv jvo	affix compound		x1 (text) is a compound predicate word with meaning x2 and arguments x3 built from metaphor x4	(cf. stura, cmavo, gismu, rafsi, smuni)
lumci		lum lu'i	wash		x1 (agent) washes/cleanses x2 of soil/contaminant x3 in/with cleaning material(s) x4	[agentless washing/cleansing (= cuvbi'o, jisybi'o)]; (cf. djacu, jinru, litki, zbabu, jinsa, curve)
lunbe		lub	bare		x1 is bare/naked/nude; x1 is without cover/clothes/[protection]	(cf. taxfu, bandu)
lunra		lur	lunar		x1 is Earth's moon (default); x1 is a major natural satellite/moon of planet x2	(cf. plini, solri, terdi, mluni)
lunsa		lus	condense		x1 condenses/liquefies on/into x2 at temperature x3, pressure x4; x1 is dew/condensate on x2	(cf. cilmo, dunja, febvi, runme, bumru)
ly	BY2		l		letteral for l
ma	KOhA7		sumti ?		pro-sumti: sumti question (what/who/how/why/etc.); appropriately fill in sumti blank
ma'a	KOhA3		we with you		pro-sumti: me/we the speaker(s)/author(s) & you the listener(s) & others unspecified
ma'e	BAI		material object		marji modal, 1st place                            material in object/substance ...
ma'i	BAI		in reference frame		manri modal, 1st place (by standard 2)            in reference frame ...
ma'o	MAhO		operand to operator		convert letteral string or other mathematical expression (mex) operand to mex operator
ma'u	PA3		positive number		digit/number: plus sign; positive number; default any positive
mabla		mal	derogative		x1 is a derogative connotation/sense of x2 used by x3; x3 derogates/'curses at' x2 in form x1	[bloody (British sense), fucking, shit, goddamn]; (cf. palci, dapma, xlali, zabna, funca, ganti, ganxo, gletu, gutra, kalci, pinca, pinji, plibu, vibna, vlagi, zargu)
mabru		mab	mammal		x1 is a mammal/'animal'/beast of species x2	(cf. danlu, ladru, tatru, ractu, xanto, xarju)
macnu		cnu	manual		x1 (event/action/process) is manual [not automatic] in function x2 under conditions x3	(cf. zmiku, jitro)
mai	MAI		sentence ordinal		utterance ordinal suffix; converts a number to an ordinal, such as an item or paragraph number
makcu		ma'u	mature		x1 is mature/ripe/fully-grown/adult in development-quality x2 (ka)	(cf. cifnu, ninmu, verba, banro, farvi, nanmu)
makfa		maf	magic		x1 is magic/supernatural/sorcery/witchcraft/wizardry to x2, performed by person/force/deity x3	(cf. krici, manci)
maksi		mak	magnet		x1 is magnetic [adjective] producing magnetic field x2	(cf. dikca, trina, xlura)
malsi		mas	temple		x1 is a temple/church/sanctuary/synagogue/shrine of religion x2 at location/serving area x3	[x2 may be event of form (... worships/pays/respect to ...), hence (metaphorically extending to) monument (= mojmalsi, si'armalsi)]; (cf. cevni, krici, lijda, ritli)
mamta		mam	mother	'mom'	x1 is a mother of x2; x1 bears/mothers/acts maternally toward x2; [not necessarily biological]	(cf. patfu, sovda, rirni, rorci, tarbi, famti, bersa, jbena)
manci		mac	wonder		x1 feels wonder/awe/marvels about x2	(cf. cinmo, makfa, kucli, spaji, cinri, banli, sisku)
manfo			uniform		x1 (object/event) is uniform/homogeneous in property x2 (ka)	(cf. prane, curve, ranji, vitno, stodi, dikni, sampu, traji)
manku		man	dark		x1 is dark/lacking in illumination	(cf. blabi, gusni, ctino; use kandi or xekri with colors, ctino)
manri		mar	reference		x1 is a frame of reference/standard for observing/measuring/determining x2, with/by rules x3	(x1 may be object or si'o idea); (cf. cmavo list ma'i, ckilu, merli, pajni, cimde, jdice, marde)
mansa			satisfy		x1 satisfies evaluator x2 in property (ka)/state x3	(cf. pajni)
manti			ant		x1 is an ant of species/breed x2	(cf. cinki, jalra)
mapku		map	cap		x1 is a cap/hat/crown/helmet/piece of headgear [head-top garment] of material x2	(cf. taxfu, stedu, drudi)
mapni			cotton		x1 is a quantity of/contains/is made of cotton [type of fabric/material]	(cf. bukpu)
mapti		mat	fit	'match'	x1 fits/matches/suits/is compatible/appropriate/corresponds to/with x2 in property/aspect x3	(cf. satci, tugni, sarxe, drani, tarmi, ckini, mintu)
marbi		mra	shelter	'harbor'	x1 is a shelter/haven/refuge/retreat/harbor for/protecting x2 from danger/threat x3	(cf. bandu, ckape, snura, drudi, sepli, bitmu, gacri)
marce		ma'e	vehicle		x1 is a vehicle/mode of transport carrying x2 in/on surface/medium x3, propelled by x4	(cf. klama, matra, bevri, bloti, carce, karce, sabnu, skiji)
marde		mad	morals		x1 are the ethics/morals/moral standards/ethical standards of x2 (ind./mass) about situation x3	[x1 will (typically) be an abstract, a rule or rules of behavior; also principles; also conscience (= sezmarde)]; (cf. palci, vrude, lijda, manri, javni, tarti, zekri)
margu		mag	mercury		x1 is a quantity of/contains/made of mercury/quicksilver; [metaphor: fluid metal; temperature]	(cf. jinme)
marji		maj mai	material	'matter'	x1 is material/stuff/matter of type/composition including x2 in shape/form x3	[also (adjective:) x1 is physical (one sense)/material]; (cf. morna, mucti, nejni, tarmi, dacti)
marna			hemp	'marijuana'	x1 is a quantity of hemp/marijuana/jute of species/strain x2	(cf. skori, tanko, sigja, xukmi)
marxa		max	mash		x1 [force] mashes/crushes/squashes/smashes x2 into pulp/mash/crumbs/deformed mass x3	(cf. daspo, pesxu, zalvi, bapli)
masno		sno	slow		x1 is slow/sluggish at doing/being/bringing about x2 (event/state)	(cf. sutra)
masti		ma'i	month		x1 is x2 months in duration (default is 1 month) by month standard x3	[this month (= cabma'i); next month (= bavla'ima'i); last month (= prula'ima'i)]; (cf. detri, djedi, jeftu, nanca)
matci			mat		x1 is a mat/pad/mattress/pallet [flat, soft, dense form] of material x2	[also mattress = (kicymatci)]; (cf. kicne, tapla, karda, ckana)
matli			linen		x1 is a quantity of/contains/is made of linen/flax [type of fabric/material]	(cf. bukpu)
matne			butter		x1 is a quantity of/contains butter/oleo/margarine/shortening from source x2	[(adjective:) x1 is buttery; an edible fat, solid but spreadable at normal temperatures; dairy butter (= ladmatne)]; (cf. grasu, kruji)
matra			motor		x1 is a motor/engine, driving/propelling/providing power to x2	(cf. marce, minji, carce)
mau	BAI		exceeded by		zmadu modal, 1st place (a greater)                exceeded by ... ; usually a sumti modifier
mavji		mav	oats		x1 is a quantity of oats [grain] of species/strain x2	(cf. gurni)
maxri		xri	wheat		x1 is a quantity of wheat [grain] of species/strain x2	(cf. gurni)
me	ME		sumti to selbri		convert sumti to selbri/tanru element; x1 is specific to [sumti] in aspect x2
me'a	BAI		undercut by		mleca modal, 1st place (a lesser)                 undercut by ... ; usually a sumti modifier
me'e	BAI		with name		cmene modal, 1st place (requires quote)           with name ...; so-called ...
me'e ma	BAI*		with what name?		sumti question asking for a name; who?; requires quoted name as an answer
me'i	PA3		less than		digit/number: less than
me'o	LI		the mex		the mathematical expression (unevaluated); convert unevaluated mathematical expression to sumti
me'u	MEhU		end sumti to selbri		elidable terminator: end sumti that was converted to selbri; usually elidable
mebri		meb	brow		x1 is a/the brow/forehead [projecting flat/smooth head/body-part] of x2	(cf. stedu, flira)
megdo		meg	1E6	metric 'mega'	x1 is a million [1x10**6] of x2 in dimension/aspect x3 (default is units)	(cf. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
mei	MOI	mem mei	cardinal selbri		convert number to cardinality selbri; x1 is the mass formed from set x2 whose n member(s) are x3	[x1 is a mass with N components x3 composing set x2; x2 is an n-tuple (x2 is completely specified) (= selmei for reordered places); x1 forms an n-some; x3 (not necessarily a complete enumeration) are [among the] members of x2]; (cf. cmima, gunma, cmavo list moi)
mekso		mek me'o	MEX		x1 [quantifier/expression] is a mathematical expression interpreted under rules/convention x2	(cf. cmaci, dilcu, fancu, frinu, jalge, namcu, parbi, pilji)
melbi		mel mle	beautiful		x1 is beautiful/pleasant to x2 in aspect x3 (ka) by aesthetic standard x4	[also handsome, pretty, gorgeous, cute, comely, graceful]; (cf. pluka, xamgu)
meljo		mej	Malaysian		x1 reflects Malaysian/Malay culture/nationality/language in aspect x2	(cf. baxso, bindo)
menli		men	mind	'mental'	x1 is a mind/intellect/psyche/mentality/[consciousness] of body x2	[(adjective:) x1 is mental/psychological/a mental phenomenon; multiple personalities (= so'i menli)]; (cf. besna, morji, mucti, pensi, sanji, xanri, sevzi, xadni)
mensi		mes me'i	sister		x1 is a sister of/sororal to x2 by bond/tie/standard/parent(s) x3; [not necessarily biological]	(cf. bruna, tunba, tamne, famti)
mentu		met me'u	minute		x1 is x2 minutes in duration (default is 1 minute) by standard x3	(cf. junla, cacra, snidu, tcika)
merko		mer	American		x1 pertains to USA/American culture/nationality/dialect in aspect x2	(cf. brito, bemro, ketco, xispo, glico)
merli		mre	measure		x1 (agent) measures/evaluates x2 [quantity] as x3 units on scale x4 (si'o), with accuracy x5	(cf. kancu, rupnu, fepni, dekpu, gutci, minli, merli, bunda, ckilu, gradu, satci, centi, cimde, decti, dekto, femti, gigdo, gocti, gotro, kilto, kramu, litce, manri, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
mexno		mex	Mexican		x1 reflects Mexican culture/nationality in aspect x2	(cf. xispo, bemro, spano)
mi	KOhA3	mib	me		pro-sumti: me/we the speaker(s)/author(s); identified by self-vocative	(cf. sevzi)
mi'a	KOhA3		we, not you		pro-sumti: me/we the speaker(s)/author(s) & others unspecified, but not you, the listener
mi'e	COI		self-introduction		self vocative: self-introduction - denial of identity; identifies speaker
mi'enai	COI*		no, I am not		self vocative: self-introduction - denial of identity; denies identity of speaker
mi'i	BIhI		center-range		non-logical interval connective: ordered components: ... center, ... range surrounding center
mi'o	KOhA3		me and you		pro-sumti: me/we the speaker(s)/author(s) & you the listener(s)
mi'u	UI3b		ditto		discursive: ditto	(cf. mintu)
midju		mij	middle		x1 is in/at the middle/center/midpoint/[is a focus] of x2; (adjective:) x1 is central	(cf. lanxe, jbini, nutli, snuji, milxe, denmi, ralju)
mifra		mif	code	'cipher'	x1 is encoded/cipher text of plain-text x2 by code/coding system x3; x1 is in code; x3 is a code	[code (= termifra)]; (cf. mipri, lerfu, sinxa)
mikce		mic	doctor	'medic'	x1 doctors/treats/nurses/[cures]/is physician/midwife to x2 for ailment x3 by treatment/cure x4	[also medic; (adjective:) x1, x4 is medical; x2 is a patient of x1 (= selmikce for reordered places) ; x2 is treated by x1 person/x4 treatment/method; successfully cure transitive (= sadmikce, sadvelmikce), intransitive (= sadyselmikce, ka'orbi'o to not imply an external agent/process, though the x1 and x4 of mikce may be self/internal); treatment (= velmikce)]; (cf. bilma, kanro, spita)
mikri		mik	1E-6	metric 'micro'	x1 is a millionth [1x10**-6] of x2 in dimension/aspect x3 (default is units)	(cf. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
milti		mil	.001	metric 'milli'	x1 is a thousandth [1/1000; 1x10**-3] of x2 in dimension/aspect x3 (default is units)	(cf. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
milxe		mli	mild		x1 is mild/non-extreme/gentle/middling/somewhat in property x2 (ka); x1 is not very x2	(cf. mutce, traji, kandi, ruble, midju, nutli, ralci, traji)
minde		mid mi'e	command		x1 issues commands/orders to x2 for result x3 (event/state) to happen; x3 is commanded to occur	[also: x1 orders/sets/[triggers] x2 to do/bring about x3; x1 is a commander; commanded (= termi'e)]; (cf. lacri, te bende, jatna, ralju, jitro, turni, tinbe)
minji		mi'i	machine		x1 is a machine for use/function x2; [automated apparatus, without direct function control]	[also machinery/mechanism; a machine is initiated/triggered by an agent/force, but thereafter performs its function automatically; if self-directed, (a minji is an) entity (= zukte)]; (cf. cabra, matra, tutci, zukte, pilno, skami)
minli			mile		x1 is x2 (default 1) long local distance unit(s) [non-metric], x3 subunits, standard x4	(additional subunit places may be added as x5, x6, ...); (cf. mitre, kilto, clani, ganra, condi, rotsu, rupnu, fepni, dekpu, gutci, minli, merli, bunda, kramu)
minra		mir	reflect	'mirror'	x1 reflects/mirrors/echoes x2 [object/radiation] to observer/point x3 as x4; x2 bounces on x1	[also: x1 is a mirror/reflector]; [x2 may be light, lu'e of an imaged object; x4 may be image or echo or the same as x2 if physical object; x3 may be a path for a bounced object; ka is reflection]; (cf. catlu, viska, lenjo, pensi)
mintu		mit mi'u	same	'identical'	x1 is the same/identical thing as x2 by standard x3; (x1 and x2 interchangeable)	(cf. panra, satci, mapti, simsa, drata, dunli, cmavo list du - which has no standard place, simxu)
mipri		mip	secret		x1 keeps x2 secret/hidden from x3 by method x4; x2 is a secret; x1 hides/conceals x2	[intransitive hidden/secret, without an agent (= selcri or nalterju'o); secret (= selmipri)]; (cf. stace, mifra, sivni, djuno, cirko, jarco)
mirli			deer		x1 is a deer/elk/moose/[hart/stag/doe] of species/breed x2	(cf. mabru, danlu)
misno		mis mi'o	famous		x1 (person/object/event) is famous/renowned/is a celebrity among community of persons x2 (mass)	[also celebrated/well-known; (derogative meanings:) notorious/infamous (= malmi'o; these could also be expressed using the referenced words)]; (cf. se sinma, banli)
misro			Egyptian	'Mizraim'	x1 reflects Egyptian culture/nationality in aspect x2	(cf. friko, muslo, xrabo)
mitre		tre	meter		x1 is x2 meter(s) [metric unit] in length (default 1) measured in direction x3 by standard x4	(cf. kilto, centi, decti, dekto, femti, gigdo, gocti, gotro, gutci, litce, megdo, mikri, milti, minli, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
mixre		mix xre	mixture		x1 (mass) is a mixture/blend/colloid/commingling with ingredients including x2	[x2 mingles/mixes/blends into x1; x2 is in x1, an ingredient/part/component/element of x1 (= selxre for reordered places)]; (cf. salta, te runta, stasu, jicla, sanso)
mlana		mla	side	'lateral'	x1 is to the side of/lateral to x2 and facing x3 from point of view/in-frame-of-reference x4	(cf. crane, trixe, pritu, zunle which differ in that the direction of facing is the front and not the lateral side.  The x4 of mlana may be either the front, or back side of x2, korbi)
mlatu		lat	cat		x1 is a cat/[puss/pussy/kitten] [feline animal] of species/breed x2; (adjective:) x1 is feline	(cf. cinfo, tirxu, gerku)
mleca		mec me'a	less		x1 is less than x2 in property/quantity x3 (ka/ni) by amount x4	[also negative (= nonme'a)]; (cf. cmavo list me'a, cmavo list su'o, jdika, zmadu, traji)
mledi		led	mold		x1 is a mold/fungus/mushrooms/truffles of species/strain x2 parasitic/growing on x3	(cf. clika)
mluni		lun	satellite	'moon'	x1 is a satellite/moon orbiting x2 with characteristics x3, orbital parameters x4	(cf. plini, solri, lunra)
mo	GOhA		bridi ?		pro-bridi: bridi/selbri/brivla question
mo'a	PA4	mob	too few		digit/number: too few; subjective
mo'aroi	ROI*		too few times		tense interval modifier: too few times; objective tense; defaults as time tense
mo'e	MOhE		sumti to operand		convert sumti to mex operand; sample use in story arithmetic: [3 apples] + [3 apples] = what
mo'i	MOhI	mov	space motion		mark motions in space-time
mo'ibe'a	FAhA*		northwardly		space motion tense: northwardly; to the north directional space motion
mo'ibu'u	FAhA*		moving to coincide		space motion tense: moving to coincide directional space motion
mo'ica'u	FAhA*		forward		space motion tense: forward directional space motion
mo'idu'a	FAhA*		eastwardly		space motion tense: eastwardly; to the east directional space motion
mo'ifa'a	FAhA*		arriving at		space motion tense: arriving at; arriving at a point directional space motion
mo'iga'u	FAhA*		upwardly		space motion tense: upwardly; upwards directional space motion
mo'ine'a	FAhA*		approximating		space motion tense: approximating; moving around the neighborhood of ... space motion
mo'ine'i	FAhA*		into		space motion tense: moving into directional space motion
mo'ine'u	FAhA*		southwardly		space motion tense: southwardly; to the south directional space motion
mo'ini'a	FAhA*		downwardly		space motion tense: downwardly; downwards directional space motion
mo'ipa'o	FAhA*		passing through		space motion tense: passing through directional space motion
mo'ire'o	FAhA*		along		space motion tense: along; along a path directional space motion
mo'iri'u	FAhA*		rightwardly		space motion tense: rightwardly; to the right directional space motion
mo'iru'u	FAhA*		orbiting		space motion tense: orbiting; surrounding/annular directional space motion
mo'ite'e	FAhA*		moving the border		space motion tense: moving along the border directional space motion
mo'iti'a	FAhA*		rearwardsly		space motion tense: rearwardsly; rearwards directional space motion
mo'ito'o	FAhA*		moving away from		space motion tense: moving away from a point directional space motion
mo'ivu'a	FAhA*		westwardly		space motion tense: westwardly; to the west directional space motion
mo'ize'o	FAhA*		outwardsly		space motion tense: outwardsly; outward directional space motion
mo'izo'a	FAhA*		passing by		space motion tense: passing by a site directional space motion
mo'izo'i	FAhA*		approaching		space motion tense: approaching directional space motion
mo'izu'a	FAhA*		leftwardsly		space motion tense: leftwardsly; to the left directional space motion
mo'o	MAI		section ordinal		higher-order utterance ordinal suffix; converts a number to ordinal, usually a section/chapter
mo'u	ZAhO		completive		interval event contour: at the natural ending point of ...; completive              |    >|<
moi	MOI	mom moi	ordinal selbri		convert number to ordinal selbri; x1 is (n)th member of set x2 ordered by rule x3	(x2 is a completely specified set)
mokca		moc	point	'moment'	x1 is a point/instant/moment [0-dimensional shape/form] in/on/at time/place x2	[x1 is dimensionless]; (cf. jipno, jganu, linji, stuzi, tcika)
moklu		mol mo'u	mouth	'oral'	x1 is a/the mouth/oral cavity [body-part] of x2; (metaphor: entrance/intake for consumption)	[(adjective:) x1 is oral]; (cf. ctebi, denci, tance)
molki		mlo	mill		x1 is a mill/foundry/industrial plant/[assembly line] performing process x2	[(unlike fanri,) need not produce a product; grain mill (= grumlo), grinding mill (= zalmlo, zalmlotci, zalmloca'a)]; (cf. gasta, gurni, tirse, fanri, zalvi)
molro		mo'o	mole		x1 is x2 mole(s) [metric unit] in substance (default is 1) by standard x3	(cf. centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, terto, xatsi, xecto, xexso, zepti, zetro)
morji		moj mo'i	remember	'memory'	x1 remembers/recalls/recollects fact(s)/memory x2 (du'u) about subject x3	(cf. cmavo list ba'anai, menli, pensi, sanji, djuno, notci)
morko		mor	Moroccan		x1 reflects Moroccan culture/nationality in aspect x2	(cf. friko, xrabo, muslo)
morna		mon mo'a	pattern	'form'	x1 is/reflects/represents a pattern of forms/events x2 arranged according to structure x3	[x3 is a [model] for x1 (= termontai, or the more abstract = termonsi'o); image (= gusmo'a, nenmo'a, dairmo'a, selylenmo'a, selmirmo'a, velmirmo'a, but also all of these -tai instead of -mo'a for the ideal)]; (cf. ciste, ganzu, marji, slilu, stura, tarmi, boxna, cimde, gidva, jimpe, rilti)
morsi		mro	dead	'mort-'	x1 is dead/has ceased to be alive	[die/mortal (= mrobi'o, co'urji'e)]; (cf. jmive, catra, betri)
mosra		mos	friction	'rub'	x1 is friction [force opposing motion] due to contact/rubbing between x2 and x3; (fe) x2 rubs x3	[also x2 scrubs/wipes/brushes (against) x3 (= seltermosra); non-agentive rub (= termosra)]; (cf. sakli, sraku, jabre, satre, guska, pencu, spali)
mraji			rye		x1 is a quantity of rye [grain] of species/strain x2	(cf. gurni)
mrilu		mri	mail		x1 mails/posts [transfer via intermediary service] x2 to x3 from x4 by carrier/network/system x5	[also x4 post office, mailbox]; (cf. benji [in which the medium need not be a 3rd party service/system, and x2 need not consist of discrete units], notci, xatra, tcana)
mruli		mru	hammer		x1 [tool] is a hammer for/hammers x2 [target] consisting of weight/head x3 propelled by x4	(cf. tutci)
mu	PA1	mum	5		digit/number: 5 (digit) [five]
mu'a	UI3		for example		discursive: for example - omitting - end examples	(cf. mupli)
mu'acu'i	UI*3		omitting examples		discursive: for example - omitting - end examples
mu'anai	UI*3		concluding examples		discursive: for example - omitting - end examples
mu'e	NU1	muf	point-event abstract		abstractor: achievement (event) abstractor; x1 is the event-as-a-point/achievement of [bridi]
mu'i	BAI		because of motive		mukti modal, 1st place                            because of motive ...
mu'i ma	BAI*		with what motive?		sumti question asking for a motive; why?
mu'inai	BAI*		despite motive		mukti modal, 1st place                            despite motive ...
mu'o	COI		over		vocative: over (response OK) - more to come
mu'onai	COI*		more to come		vocative: over (response OK) - more to come
mu'u	BAI		exemplified by		mupli modal, 1st place                            exemplified by ...
mucti		mut	immaterial		x1 is immaterial/not physical/without material form	(cf. marji, menli, pruxi, sidbo)
mudri		mud	wood	'lumber'	x1 is a quantity of/is made of/contains wood/lumber from tree(s) of type/species x2	(cf. tricu, stani)
mukti		muk mu'i	motive		x1 (action/event/state) motivates/is a motive/incentive for action/event x2, per volition of x3	[also; x3 is motivated to bring about result/goal/objective x2 by x1 (= termu'i for reordered places); (note that 'under conditions' BAI may apply and be appropriately added to the main predicate level or within the x2 action level)]; (cf. cmavo list mu'i, nibli, te zukte - generally better for 'goal', se jalge, krinu, rinka, ciksi, djica, xlura)
mulno		mul mu'o	complete		x1 (event) is complete/done/finished; x1 (object) has become whole in property x2 by standard x3	[also perfected, entirety; (adverb/adjective:) entire, total, integral, fully, totally, wholly, completely, entirely]; (cf. fanmo, culno, pagbu, xadba, prane, jalge, sumji, munje, sisti, xadni)
munje		muj mu'e	universe		x1 is a universe/cosmos [complete and ordered entirety] of domain/sphere x2 defined by rules x3	[also world; a universe is a kind of system, one which comprehensively encompasses its domain; e.g. 'universe of discourse', or 'world of birds'; x3 are the rules/defining principles which distinguish the universe from other universes, or from non-universe]; (cf. ciste, plini, kensa, mulno)
mupli		mup	example		x1 is an example/sample/specimen/instance/case/illustration of common property(s) x2 of set x3	(cf. cmavo list mu'u, pixra)
murse			glimmering		x1 is the [astronomical] twilight/dawn/dusk/half-light/glimmering of day x2 at location x3	[morning twilight, dawn (= cermurse); evening twilight, dusk (= vacmurse)]; (cf. cerni, kandi, vanci)
murta		mur mu'a	curtain		x1 is a curtain/blinds/drapes for covering/obscuring aperture x2, and made of material x3	(cf. canko, vorme)
muslo		mus	Islamic		x1 pertains to the Islamic/Moslem/Koranic [Quranic] culture/religion/nation in aspect x2	[also Muslim]; (cf. jegvo, lijda)
mutce		tce	much		x1 is much/extreme in property x2 (ka), towards x3 extreme/direction; x1 is, in x2, very x3	[also very, pretty, a lot, immoderate/immoderately, intense, quite, extremely]; (cf. milxe, traji, banli, carmi, nutli, traji)
muvdu		muv mu'u	move		x1 (object) moves to destination/receiver x2 [away] from origin x3 over path/route x4	[also mobile (= comymu'u, for the non-specific opposite of immobile); after a muvdu, object is alienated from/no longer at origin (unless physically returned there, per litru or slilu); agentive move (= muvgau, muvzu'e), non-agentive transitive move (= muvri'a), self-propelled (= sezmuvgau), motion of a part of the object (= pagmu'u), having a moving part (= muvypau, muvyselpau); apparent motion (= mlumu'u)]; (cf. rinci, klama (which differs in that the means of motion is explicit), litru, cliva, fatri; dunda, benji for agentive movement that does not necessarily imply alienation from origin, preja for similar movement with no agent implied, bevri, vimcu)
muzga		muz	museum		x1 is a museum for preserving [and possibly exhibiting] x2 at location x3	(cf. citri)
my	BY2		m		letteral for m
na	NA	nar	bridi negator		bridi contradictory negator; scope is an entire bridi; logically negates in some cmavo compounds
na'a	BY1		cancel shifts		cancel all letteral shifts
na'e	NAhE	nal	scalar contrary		contrary scalar negator: other than ...; not ...; a scale or set is implied
na'efa'a	FAhA*		not towards point		space direction: not towards specified point, contrary negation; direction modal
na'epu'i	CAhA*		has never		modal aspect: has never, and perhaps cannot; other-than-demonstrated-ability
na'i	UI3a		metalinguistic not		discursive: metalinguistic negator	(cf. naldra, nalmapti)
na'o	TAhE		typically		tense interval modifier: characteristically/typically; tense/modal; defaults as time tense
na'onai	TAhE*		atypically		tense interval modifier: atypically; subjective tense/modal; defaults as time tense
na'u	NAhU		selbri to operator		convert selbri to mex operator; used to create less-used operators using le'avla, lujvo, etc.
na.a	A*		sumti only if		logical connective: sumti afterthought conditional/only if
nabmi		nam	problem		x1 (event/state) is a problem to/encountered by x2 in situation/task/inquiry x3	[also: x1 requires consideration by x2]; (cf. preti, danfu, ciksi, jijnu, jinvi, nandu, pensi, sidbo, spuda)
nagi'a	GIhA*		bridi only if		logical connective: bridi-tail afterthought conditional/only if
nago'i	GOhA*		deny last bridi		selbri: repeats preceding bridi while denying it as false; pro-assign values are unchanged
nai	NAI		negate last word		attached to cmavo to negate them; various negation-related meanings
